U.S. Census Bureau,
Source: Monthly Retail Trade and Food Services,
4481: Clothing Stores: U.S. Total,
Not Seasonally Adjusted Sales - Monthly [Millions of Dollars],
Period: 1992 to 2025,
Data Extracted on: November 19, 2025 (12:42 am)
,
Period,Value
Jan-92,4727
Feb-92,5032
Mar-92,5882
Apr-92,6529
May-92,6610
Jun-92,6382
Jul-92,6391
Aug-92,7307
Sep-92,6713
Oct-92,7337
Nov-92,8008
Dec-92,12431
Jan-93,5306
Feb-93,5150
Mar-93,6196
Apr-93,6945
May-93,6958
Jun-93,6562
Jul-93,6731
Aug-93,7202
Sep-93,6919
Oct-93,7351
Nov-93,8296
Dec-93,12378
Jan-94,5000
Feb-94,5289
Mar-94,6929
Apr-94,6847
May-94,6780
Jun-94,6781
Jul-94,6661
Aug-94,7563
Sep-94,6996
Oct-94,7525
Nov-94,8589
Dec-94,12966
Jan-95,5192
Feb-95,5330
Mar-95,6768
Apr-95,6905
May-95,7007
Jun-95,6913
Jul-95,6630
Aug-95,7528
Sep-95,7364
Oct-95,7237
Nov-95,8769
Dec-95,12780
Jan-96,5176
Feb-96,5890
Mar-96,7001
Apr-96,7091
May-96,7448
Jun-96,7090
Jul-96,6811
Aug-96,8084
Sep-96,7297
Oct-96,7814
Nov-96,8882
Dec-96,12670
Jan-97,5628
Feb-97,5744
Mar-97,7442
Apr-97,6925
May-97,7707
Jun-97,7252
Jul-97,7347
Aug-97,8579
Sep-97,7605
Oct-97,8235
Nov-97,9301
Dec-97,13478
Jan-98,6063
Feb-98,6205
Mar-98,7542
Apr-98,8212
May-98,8236
Jun-98,7793
Jul-98,8017
Aug-98,8914
Sep-98,7849
Oct-98,8790
Nov-98,9809
Dec-98,14227
Jan-99,6398
Feb-99,6706
Mar-99,8473
Apr-99,8701
May-99,8963
Jun-99,8424
Jul-99,8618
Aug-99,9490
Sep-99,8717
Oct-99,9217
Nov-99,10304
Dec-99,15134
Jan-00,6524
Feb-00,7295
Mar-00,9076
Apr-00,9214
May-00,9287
Jun-00,8955
Jul-00,8677
Aug-00,10111
Sep-00,9466
Oct-00,9610
Nov-00,11253
Dec-00,16023
Jan-01,7041
Feb-01,7641
Mar-01,9284
Apr-01,9471
May-01,9461
Jun-01,9088
Jul-01,8854
Aug-01,10340
Sep-01,8716
Oct-01,9602
Nov-01,10976
Dec-01,16125
Jan-02,7286
Feb-02,7782
Mar-02,9949
Apr-02,9302
May-02,9659
Jun-02,9319
Jul-02,9133
Aug-02,10576
Sep-02,8939
Oct-02,10237
Nov-02,11462
Dec-02,16487
Jan-03,7731
Feb-03,7752
Mar-03,9725
Apr-03,9770
May-03,10289
Jun-03,9637
Jul-03,9919
Aug-03,10931
Sep-03,9825
Oct-03,10644
Nov-03,11960
Dec-03,17371
Jan-04,8482
Feb-04,8928
Mar-04,10663
Apr-04,10743
May-04,10766
Jun-04,10170
Jul-04,10563
Aug-04,11137
Sep-04,10353
Oct-04,11451
Nov-04,12563
Dec-04,18532
Jan-05,8722
Feb-05,9291
Mar-05,11495
Apr-05,11301
May-05,11254
Jun-05,11231
Jul-05,11031
Aug-05,11894
Sep-05,10903
Oct-05,12128
Nov-05,13372
Dec-05,19850
Jan-06,9275
Feb-06,9609
Mar-06,11892
Apr-06,12241
May-06,11956
Jun-06,11928
Jul-06,11860
Aug-06,12682
Sep-06,12184
Oct-06,12709
Nov-06,14091
Dec-06,20942
Jan-07,10102
Feb-07,10295
Mar-07,13277
Apr-07,12487
May-07,13141
Jun-07,12530
Jul-07,12251
Aug-07,13444
Sep-07,12279
Oct-07,12914
Nov-07,14978
Dec-07,20350
Jan-08,10230
Feb-08,10842
Mar-08,12928
Apr-08,12397
May-08,13506
Jun-08,12304
Jul-08,12551
Aug-08,13475
Sep-08,11636
Oct-08,12313
Nov-08,13867
Dec-08,18279
Jan-09,9896
Feb-09,10288
Mar-09,11505
Apr-09,12058
May-09,12472
Jun-09,11285
Jul-09,11791
Aug-09,12702
Sep-09,11503
Oct-09,12745
Nov-09,13548
Dec-09,18332
Jan-10,9663
Feb-10,10332
Mar-10,12842
Apr-10,12623
May-10,12840
Jun-10,11898
Jul-10,12410
Aug-10,12900
Sep-10,12064
Oct-10,12899
Nov-10,14802
Dec-10,19652
Jan-11,9929
Feb-11,11124
Mar-11,13420
Apr-11,13567
May-11,13354
Jun-11,12980
Jul-11,13131
Aug-11,13601
Sep-11,13143
Oct-11,13502
Nov-11,15493
Dec-11,21283
Jan-12,10435
Feb-12,12348
Mar-12,14890
Apr-12,13709
May-12,14284
Jun-12,13731
Jul-12,13434
Aug-12,14844
Sep-12,13415
Oct-12,13934
Nov-12,16214
Dec-12,21145
Jan-13,11042
Feb-13,11968
Mar-13,15037
Apr-13,13808
May-13,14836
Jun-13,13820
Jul-13,14013
Aug-13,15309
Sep-13,13184
Oct-13,14512
Nov-13,16440
Dec-13,21265
Jan-14,10839
Feb-14,11841
Mar-14,14549
Apr-14,14701
May-14,15331
Jun-14,13751
Jul-14,14391
Aug-14,15565
Sep-14,13608
Oct-14,14919
Nov-14,17463
Dec-14,22234
Jan-15,11350
Feb-15,12313
Mar-15,15126
Apr-15,14782
May-15,15821
Jun-15,14278
Jul-15,14932
Aug-15,15851
Sep-15,14005
Oct-15,15277
Nov-15,17044
Dec-15,22357
Jan-16,11338
Feb-16,12861
Mar-16,15565
Apr-16,14687
May-16,15385
Jun-16,14706
Jul-16,15008
Aug-16,15791
Sep-16,14498
Oct-16,15168
Nov-16,17330
Dec-16,23388
Jan-17,11511
Feb-17,12357
Mar-17,15375
Apr-17,15288
May-17,15593
Jun-17,14998
Jul-17,14978
Aug-17,15928
Sep-17,14328
Oct-17,14968
Nov-17,17937
Dec-17,22914
Jan-18,11357
Feb-18,12620
Mar-18,16002
Apr-18,14597
May-18,16850
Jun-18,15352
Jul-18,15543
Aug-18,16205
Sep-18,14374
Oct-18,15449
Nov-18,18621
Dec-18,22994
Jan-19,11641
Feb-19,12184
Mar-19,15783
Apr-19,15381
May-19,16399
Jun-19,15317
Jul-19,15540
Aug-19,16556
Sep-19,13993
Oct-19,15660
Nov-19,18472
Dec-19,23780
Jan-20,11952
Feb-20,13057
Mar-20,7405
Apr-20,1690
May-20,5283
Jun-20,10698
Jul-20,11747
Aug-20,12452
Sep-20,12458
Oct-20,13624
Nov-20,14467
Dec-20,19279
Jan-21,10230
Feb-21,10263
Mar-21,15826
Apr-21,15641
May-21,17124
Jun-21,16731
Jul-21,17298
Aug-21,16644
Sep-21,15240
Oct-21,16555
Nov-21,19545
Dec-21,23806
Jan-22,11895
Feb-22,12692
Mar-22,16877
Apr-22,17041
May-22,17571
Jun-22,16489
Jul-22,16692
Aug-22,16902
Sep-22,15700
Oct-22,16852
Nov-22,19524
Dec-22,25046
Jan-23,13006
