NAICS2022_LABEL,EMP,NAME,GEO_ID,NAICS2022,us
Support activities for agriculture and forestry,246854,United States,0100000US,115,1
Support Activities for Crop Production,222098,United States,0100000US,1151,1
Support Activities for Crop Production,222098,United States,0100000US,11511,1
Cotton ginning,5074,United States,0100000US,115111,1
"Soil Preparation, Planting, and Cultivating",26087,United States,0100000US,115112,1
"Crop Harvesting, Primarily by Machine",17420,United States,0100000US,115113,1
Postharvest Crop Activities (except Cotton Ginning),37012,United States,0100000US,115114,1
Farm Labor Contractors and Crew Leaders,128254,United States,0100000US,115115,1
Farm Management Services,8251,United States,0100000US,115116,1
Support Activities for Animal Production,24756,United States,0100000US,1152,1
Support Activities for Animal Production,24756,United States,0100000US,11521,1
Support Activities for Animal Production,24756,United States,0100000US,115210,1
"Mining, quarrying, and oil and gas extraction",545482,United States,0100000US,21,1
Oil and Gas Extraction,105987,United States,0100000US,211,1
Oil and Gas Extraction,105987,United States,0100000US,2111,1
Crude Petroleum Extraction,73852,United States,0100000US,21112,1
Crude Petroleum Extraction,73852,United States,0100000US,211120,1
Natural Gas Extraction,32135,United States,0100000US,21113,1
Natural Gas Extraction,32135,United States,0100000US,211130,1
Mining (except Oil and Gas),167334,United States,0100000US,212,1
Coal Mining,40673,United States,0100000US,2121,1
Coal Mining,40673,United States,0100000US,21211,1
Surface Coal Mining,16234,United States,0100000US,212114,1
Underground Coal Mining,24439,United States,0100000US,212115,1
Metal ore mining,40573,United States,0100000US,2122,1
Iron Ore Mining,5175,United States,0100000US,21221,1
Iron Ore Mining,5175,United States,0100000US,212210,1
Gold Ore and Silver Ore Mining,15403,United States,0100000US,21222,1
Gold Ore and Silver Ore Mining,15403,United States,0100000US,212220,1
"Copper, Nickel, Lead, and Zinc Mining",16532,United States,0100000US,21223,1
"Copper, Nickel, Lead, and Zinc Mining",16532,United States,0100000US,212230,1
Other Metal Ore Mining,3463,United States,0100000US,21229,1
Other Metal Ore Mining,3463,United States,0100000US,212290,1
Nonmetallic Mineral Mining and Quarrying,86088,United States,0100000US,2123,1
Stone Mining and Quarrying,41173,United States,0100000US,21231,1
Dimension Stone Mining and Quarrying,3742,United States,0100000US,212311,1
Crushed and Broken Limestone Mining and Quarrying,25005,United States,0100000US,212312,1
Crushed and Broken Granite Mining and Quarrying,5113,United States,0100000US,212313,1
Other Crushed and Broken Stone Mining and Quarrying,7313,United States,0100000US,212319,1
"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",34910,United States,0100000US,21232,1
Construction Sand and Gravel Mining,23957,United States,0100000US,212321,1
Industrial Sand Mining,6833,United States,0100000US,212322,1
"Kaolin, Clay, and Ceramic and Refractory Minerals Mining",4120,United States,0100000US,212323,1
Other Nonmetallic Mineral Mining and Quarrying,10005,United States,0100000US,21239,1
Other Nonmetallic Mineral Mining and Quarrying,10005,United States,0100000US,212390,1
Support Activities for Mining,272161,United States,0100000US,213,1
Support Activities for Mining,272161,United States,0100000US,2131,1
Support Activities for Mining,272161,United States,0100000US,21311,1
Drilling Oil and Gas Wells,52715,United States,0100000US,213111,1
Support Activities for Oil and Gas Operations,206632,United States,0100000US,213112,1
Support Activities for Coal Mining,3020,United States,0100000US,213113,1
Support Activities for Metal Mining,5697,United States,0100000US,213114,1
Support Activities for Nonmetallic Minerals (except Fuels) Mining,4097,United States,0100000US,213115,1
Utilities,699168,United States,0100000US,22,1
Utilities,699168,United States,0100000US,221,1
"Electric power generation, transmission and distribution",536428,United States,0100000US,2211,1
