"HOUSEHOLD DATA
ANNUAL AVERAGES
39. Median weekly earnings of full-time wage and salary workers by detailed occupation and sex",,,,,,
[Numbers in thousands],,,,,,
,,,,,,
Occupation,2023,,,,,
,Total,,Men,,Women,
,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings
,,,,,,
"Total, full-time wage and salary workers","120,907","$1,117","66,700","$1,202","54,207","$1,005"
,,,,,,
"Management, professional, and related occupations","56,077","1,527","27,070","1,778","29,007","1,349"
"Management, business, and financial operations occupations","23,989","1,630","12,425","1,868","11,564","1,449"
Management occupations,"15,762","1,730","8,731","1,900","7,032","1,483"
Chief executives,"1,261","2,901",854,"2,983",407,"2,520"
General and operations managers,"1,222","1,544",767,"1,689",456,"1,347"
Legislators,6,–,3,–,3,–
Advertising and promotions managers,47,–,29,–,18,–
Marketing managers,508,"1,812",188,"1,911",320,"1,746"
Sales managers,566,"2,004",390,"2,297",176,"1,688"
Public relations and fundraising managers,114,"1,889",39,–,75,"1,733"
Administrative services managers,75,"1,405",25,–,49,–
Facilities managers,145,"1,436",114,"1,575",32,–
Computer and information systems managers,781,"2,303",569,"2,313",212,"2,192"
Financial managers,"1,355","1,757",607,"2,100",748,"1,497"
Compensation and benefits managers,16,–,4,–,12,–
Human resources managers,324,"1,756",79,"1,891",245,"1,706"
Training and development managers,58,"1,976",27,–,31,–
Industrial production managers,260,"1,875",212,"1,884",48,–
Purchasing managers,234,"1,741",129,"1,879",105,"1,585"
"Transportation, storage, and distribution managers",360,"1,262",277,"1,318",83,"1,219"
"Farmers, ranchers, and other agricultural managers",116,"1,171",86,"1,216",30,–
Construction managers,693,"1,680",611,"1,747",82,"1,431"
Education and childcare administrators,941,"1,565",294,"1,870",647,"1,469"
Architectural and engineering managers,174,"2,904",150,"2,887",24,–
Food service managers,720,988,384,"1,121",336,924
Funeral home managers,5,–,3,–,2,–
Entertainment and recreation managers,53,"1,035",32,–,21,–
Lodging managers,116,"1,257",42,–,74,"1,069"
Medical and health services managers,767,"1,634",224,"1,914",543,"1,540"
Natural sciences managers,36,–,14,–,22,–
Postmasters and mail superintendents,16,–,4,–,12,–
"Property, real estate, and community association managers",489,"1,263",189,"1,521",300,"1,143"
Social and community service managers,410,"1,382",113,"1,501",297,"1,341"
Emergency management directors,13,–,8,–,4,–
"Personal service managers, all other",10,–,2,–,9,–
"Managers, all other","3,872","1,738","2,263","1,887","1,609","1,536"
Business and financial operations occupations,"8,227","1,517","3,694","1,674","4,533","1,406"
"Agents and business managers of artists, performers, and athletes",29,–,15,–,14,–
"Buyers and purchasing agents, farm products",8,–,5,–,3,–
"Wholesale and retail buyers, except farm products",141,"1,125",57,"1,270",84,"1,029"
"Purchasing agents, except wholesale, retail, and farm products",287,"1,370",134,"1,514",153,"1,216"
"Claims adjusters, appraisers, examiners, and investigators",367,"1,370",153,"1,468",214,"1,306"
Compliance officers,314,"1,458",145,"1,597",169,"1,377"
Cost estimators,134,"1,355",114,"1,401",20,–
Human resources workers,893,"1,273",226,"1,367",667,"1,259"
"Compensation, benefits, and job analysis specialists",68,"1,252",16,–,51,"1,266"
Training and development specialists,144,"1,342",63,"1,648",80,"1,222"
Logisticians,182,"1,130",105,"1,207",78,994
Project management specialists,886,"1,811",481,"1,919",405,"1,661"
Management analysts,714,"1,890",360,"1,993",354,"1,817"
"Meeting, convention, and event planners",98,"1,234",25,–,73,"1,203"
Fundraisers,91,"1,481",22,–,69,"1,489"
Market research analysts and marketing specialists,416,"1,590",164,"1,771",252,"1,552"
"Business operations specialists, all other",474,"1,465",212,"1,737",262,"1,224"
Accountants and auditors,"1,394","1,553",587,"1,644",807,"1,504"
Property appraisers and assessors,53,"1,568",34,–,19,–
Budget analysts,37,–,21,–,16,–
Credit analysts,47,–,31,–,16,–
Financial and investment analysts,358,"1,668",181,"1,760",177,"1,643"
Personal financial advisors,412,"1,884",258,"2,082",154,"1,552"
Insurance underwriters,96,"1,367",42,–,54,"1,224"
Financial examiners,19,–,9,–,9,–
Credit counselors and loan officers,304,"1,360",139,"1,457",165,"1,294"
"Tax examiners and collectors, and revenue agents",78,"1,396",32,–,46,–
Tax preparers,63,"1,154",14,–,49,–
